year,country,product,production_rate
2024,China,barley,1.537235478920642
2025,China,barley,1.5729705345877
2026,China,barley,1.6034455918219086
2027,China,barley,1.6254507985574447
2028,China,barley,1.6574267682096337
2016,Egypt,barley,0.07338601724571404
2017,Egypt,barley,0.07485911929632427
2018,Egypt,barley,0.07645801180851515
2019,Egypt,barley,0.0752517513134851
2020,Egypt,barley,0.07534669662433223
2021,Egypt,barley,0.07477113968730843
2022,Egypt,barley,0.07424004280506973
2023,Egypt,barley,0.07424889289597199
2024,Egypt,barley,0.07376622692335558
2025,Egypt,barley,0.07322223602403259
2026,Egypt,barley,0.0732966633802086
2027,Egypt,barley,0.07277176713034518
2028,Egypt,barley,0.0728960847129237
2016,EU,barley,40.75506057743923
2017,EU,barley,40.93962057516757
2018,EU,barley,40.52982570405086
2019,EU,barley,40.17896234676007
2020,EU,barley,39.93510680903346
2021,EU,barley,39.685961213313306
2022,EU,barley,39.49436511386818
2023,EU,barley,39.24584338787091
2024,EU,barley,39.04275148026424
2025,EU,barley,38.811707712524274
2026,EU,barley,38.58972030512168
2027,EU,barley,38.3590932509016
2028,EU,barley,38.15726371117804
2016,India,barley,0.978480229942854
2017,India,barley,1.212994988597847
2018,India,barley,1.2530618601951096
2019,India,barley,1.2224989054290718
2020,India,barley,1.2191231273630694
2021,India,barley,1.2131785817733558
2022,India,barley,1.2085743905293784
2023,India,barley,1.2012410172098327
2024,India,barley,1.1947494253479196
2025,India,barley,1.186592485568028
2026,India,barley,1.1785844014322038
2027,India,barley,1.1707882534775889
2028,India,barley,1.1631401587088441
2016,Iran,barley,2.0385004790476127
2017,Iran,barley,2.1487339798019005
2018,Iran,barley,2.194628116725898
2019,Iran,barley,2.189825963222417
2020,Iran,barley,2.201345379754139
2021,Iran,barley,2.202717358355843
2022,Iran,barley,2.2098117245761295
2023,Iran,barley,2.212882182917451
2024,Iran,barley,2.1984970131264365
2025,Iran,barley,2.189475611111474
2026,Iran,barley,2.189818898863577
2027,Iran,barley,2.1831530139103554
2028,Iran,barley,2.1862431020481243
2016,Iraq,barley,1.0532252475079333
2017,Iraq,barley,0.9184104913669414
2018,Iraq,barley,0.7079445537825478
2019,Iraq,barley,0.8435037215411559
2020,Iraq,barley,0.8600384200272877
2021,Iraq,barley,0.8716563491475416
2022,Iraq,barley,0.8768351001571748
2023,Iraq,barley,0.8943013974702341
2024,Iraq,barley,0.9102225500721197
2025,Iraq,barley,0.9218156499454101
2026,Iraq,barley,0.9398837631674537
2027,Iraq,barley,0.9511849562081401
2028,Iraq,barley,0.9629956454180975
2016,Japan,barley,0.11891252794444407
2017,Japan,barley,0.12892403878811404
2018,Japan,barley,0.1260141305732935
2019,Japan,barley,0.12313922942206654
2020,Japan,barley,0.12286263143246967
2021,Japan,barley,0.12259772453234356
2022,Japan,barley,0.12239574624619604
2023,Japan,barley,0.1226432605870966
2024,Japan,barley,0.12250462685485836
2025,Japan,barley,0.12225498336155441
2026,Japan,barley,0.1219448912874267
2027,Japan,barley,0.12171561051004638
2028,Japan,barley,0.12213291386112657
2016,South Korea,barley,0.08493751996031719
2017,South Korea,barley,0.087335639179045
2018,South Korea,barley,0.08920101377660102
2019,South Korea,barley,0.08688156742556917
2020,South Korea,barley,0.08620748172333507
2021,South Korea,barley,0.08622257549527461
2022,South Korea,barley,0.0862789686653513
2023,South Korea,barley,0.08551881413911061
2024,South Korea,barley,0.08562151339318058
2025,South Korea,barley,0.08499009538503782
2026,South Korea,barley,0.08497223807794094
2027,South Korea,barley,0.08500772797527048
2028,South Korea,barley,0.0844059928254906
2016,Mexico,barley,0.6645511561695217
2017,Mexico,barley,0.695912553458422
2018,Mexico,barley,0.7079445537825478
2019,Mexico,barley,0.695736646234676
2020,Mexico,barley,0.6937326481988066
2021,Mexico,barley,0.6918014455753673
2022,Mexico,barley,0.6922382369661907
2023,Mexico,barley,0.6914428150937392
2024,Mexico,barley,0.6915583774064585
2025,Mexico,barley,0.689727312547807
2026,Mexico,barley,0.6888589071662083
2027,Mexico,barley,0.6884337970118496
2028,Mexico,barley,0.6880367293956658
2016,Morocco,barley,0.4212900990031732
2017,Morocco,barley,1.3862799869689681
2018,Morocco,barley,1.7698613844563695
2019,Morocco,barley,1.2731228108581436
2020,Morocco,barley,1.3155125951167195
2021,Morocco,barley,1.3324082369504153
2022,Morocco,barley,1.3369895997057153
2023,Morocco,barley,1.3344912624963539
2024,Morocco,barley,1.3350369819075156
2025,Morocco,barley,1.3369595774030951
2026,Morocco,barley,1.3381505889678793
2027,Morocco,barley,1.3395157135497167
2028,Morocco,barley,1.340264855774457
2016,Other Asia & Oceania,barley,0.5429206275863475
2017,Other Asia & Oceania,barley,0.5066853352371579
2018,Other Asia & Oceania,barley,0.541577583643649
2019,Other Asia & Oceania,barley,0.5917524080560421
2020,Other Asia & Oceania,barley,0.6061675683380963
2021,Other Asia & Oceania,barley,0.6129886226617178
2022,Other Asia & Oceania,barley,0.6133163896599004
2023,Other Asia & Oceania,barley,0.611890429848055
2024,Other Asia & Oceania,barley,0.6105472531959876
2025,Other Asia & Oceania,barley,0.611274916807772
2026,Other Asia & Oceania,barley,0.6103730994758965
2027,Other Asia & Oceania,barley,0.6111540443070582
2028,Other Asia & Oceania,barley,0.6113040086452198
2016,Other Europe,barley,0.9431462216393621
2017,Other Europe,barley,0.8899917516340776
2018,Other Europe,barley,0.9465218684072664
2019,Other Europe,barley,0.9214919001751313
2020,Other Europe,barley,0.914342345522302
2021,Other Europe,barley,0.906684270442497
2022,Other Europe,barley,0.900244122663278
2023,Other Europe,barley,0.89032377820795
2024,Other Europe,barley,0.8865119771324697
2025,Other Europe,barley,0.8773592923593905
2026,Other Europe,barley,0.867235742826008
2027,Other Europe,barley,0.8629572385368366
2028,Other Europe,barley,0.8568487150466471
2016,Other FSU,barley,4.589344078495858
2017,Other FSU,barley,4.680081236007236
2018,Other FSU,barley,5.7393064975151145
2019,Other FSU,barley,5.635672066549913
2020,Other FSU,barley,5.662541830992608
2021,Other FSU,barley,5.66374542784585
2022,Other FSU,barley,5.669665250978163
2023,Other FSU,barley,5.655511654424439
2024,Other FSU,barley,5.6608992893414385
2025,Other FSU,barley,5.6675318222530215
2026,Other FSU,barley,5.687302163873177
2027,Other FSU,barley,5.736089644513138
2028,Other FSU,barley,5.791402098639913
2016,Other Middle East,barley,0.5490361290234903
2017,Other Middle East,barley,0.5926346944292339
2018,Other Middle East,barley,0.40919195208631265
2019,Other Middle East,barley,0.5520742119089317
2020,Other Middle East,barley,0.5959855823077811
2021,Other Middle East,barley,0.6062524839511496
2022,Other Middle East,barley,0.6079657559442196
2023,Other Middle East,barley,0.6079128105857707
2024,Other Middle East,barley,0.6072541180654807
2025,Other Middle East,barley,0.6066985270562699
2026,Other Middle East,barley,0.6038866690882674
2027,Other Middle East,barley,0.6002060793405462
2028,Other Middle East,barley,0.5978757825138918
2016,Other North Africa,barley,1.0022627355317428
2017,Other North Africa,barley,1.0660493099791364
2018,Other North Africa,barley,1.3769521571070553
2019,Other North Africa,barley,1.4373084500875657
2020,Other North Africa,barley,1.4716363809148854
2021,Other North Africa,barley,1.4913811105198278
2022,Other North Africa,barley,1.518911146038859
2023,Other North Africa,barley,1.543979210309989
2024,Other North Africa,barley,1.55040801944267
2025,Other North Africa,barley,1.5559725155106925
2026,Other North Africa,barley,1.5716620829225263
2027,Other North Africa,barley,1.5777949510561564
2028,Other North Africa,barley,1.5902856375529937
2016,Other South America,barley,0.7060006659101564
2017,Other South America,barley,0.5607502547289476
2018,Other South America,barley,0.7433417814716751
2019,Other South America,barley,0.6594789842381786
2020,Other South America,barley,0.6523259050088583
2021,Other South America,barley,0.6554262965382983
2022,Other South America,barley,0.6501019964552052
2023,Other South America,barley,0.651003685927183
2024,Other South America,barley,0.6546752639447807
2025,Other South America,barley,0.6616152040742944
2026,Other South America,barley,0.6681023299257952
2027,Other South America,barley,0.6710458526532714
2028,Other South America,barley,0.6733296245851638
2016,Other Sub-Saharan Africa,barley,1.495579851461265
2017,Other Sub-Saharan Africa,barley,1.5734277852097789
2018,Other Sub-Saharan Africa,barley,1.6565902558511616
2019,Other Sub-Saharan Africa,barley,1.5973894483362523
2020,Other Sub-Saharan Africa,barley,1.6189357788201113
2021,Other Sub-Saharan Africa,barley,1.6362080927970468
2022,Other Sub-Saharan Africa,barley,1.6607029395043975
2023,Other Sub-Saharan Africa,barley,1.67391477287794
2024,Other Sub-Saharan Africa,barley,1.6887196949239613
2025,Other Sub-Saharan Africa,barley,1.7050320674167587
2026,Other Sub-Saharan Africa,barley,1.7234445539930465
2027,Other Sub-Saharan Africa,barley,1.743946419371458
2028,Other Sub-Saharan Africa,barley,1.7590976232039746
2016,Russia,barley,11.923189301949485
2017,Russia,barley,13.98964448849734
2018,Russia,barley,11.681085137412039
2019,Russia,barley,12.152473730297723
2020,Russia,barley,12.231280418683266
2021,Russia,barley,12.287390621947686
2022,Russia,barley,12.379359930441762
2023,Russia,barley,12.438678369706452
2024,Russia,barley,12.476371755438613
2025,Russia,barley,12.49354402160056
2026,Russia,barley,12.512972860775259
2027,Russia,barley,12.54701184956208
2028,Russia,barley,12.577771809677273
2016,Saudi Arabia,barley,0.006795001596825375
2017,Saudi Arabia,barley,0.00693139993484484
2018,Saudi Arabia,barley,0.007079445537825477
2019,Saudi Arabia,barley,0.00684106830122592
2020,Saudi Arabia,barley,0.0067879906868767775
2021,Saudi Arabia,barley,0.006736138710568327
2022,Saudi Arabia,barley,0.006688292144600876
2023,Saudi Arabia,barley,0.006629365437140357
2024,Saudi Arabia,barley,0.006586270261013891
2025,Saudi Arabia,barley,0.006537699645002909
2026,Saudi Arabia,barley,0.0064864303876290795
2027,Saudi Arabia,barley,0.006439979392065946
2028,Saudi Arabia,barley,0.0063943933958705
2016,South Africa Republic,barley,0.24122255668730083
2017,South Africa Republic,barley,0.2127939779997366
2018,South Africa Republic,barley,0.2760983759751936
2019,South Africa Republic,barley,0.2661175569176883
2020,South Africa Republic,barley,0.2626952395821313
2021,South Africa Republic,barley,0.26338302358322163
2022,South Africa Republic,barley,0.2655251981406548
2023,South Africa Republic,barley,0.2665004905730423
2024,South Africa Republic,barley,0.2700370807015695
2025,South Africa Republic,barley,0.2745833850901222
2026,South Africa Republic,barley,0.2769705775517617
2027,South Africa Republic,barley,0.28013910355486865
2028,South Africa Republic,barley,0.2826321880974761
2016,Taiwan,barley,0.0
2017,Taiwan,barley,0.0
2018,Taiwan,barley,0.0
2019,Taiwan,barley,0.0
2020,Taiwan,barley,0.0
2021,Taiwan,barley,0.0
2022,Taiwan,barley,0.0
2023,Taiwan,barley,0.0
2024,Taiwan,barley,0.0
2025,Taiwan,barley,0.0
2026,Taiwan,barley,0.0
2027,Taiwan,barley,0.0
2028,Taiwan,barley,0.0
2016,Turkey,barley,3.227625758492053
2017,Turkey,barley,4.436095958300698
2018,Turkey,barley,5.238789697990853
2019,Turkey,barley,4.732651050788092
2020,Turkey,barley,4.672173989777286
2021,Turkey,barley,4.639852343839465
2022,Turkey,barley,4.612246262916765
2023,Turkey,barley,4.579565643976559
2024,Turkey,barley,4.557699020621612
2025,Turkey,barley,4.551546492851025
2026,Turkey,barley,4.542447200456644
2027,Turkey,barley,4.5376094796496655
2028,Turkey,barley,4.518917812861683
2016,Ukraine,barley,6.709384576705375
2017,Ukraine,barley,6.026852243347589
2018,Ukraine,barley,5.380378608747363
2019,Ukraine,barley,5.401707530647986
2020,Ukraine,barley,5.384913011899347
2021,Ukraine,barley,5.358598344257104
2022,Ukraine,barley,5.3426077651071795
2023,Ukraine,barley,5.302829413168571
2024,Ukraine,barley,5.293385408776864
2025,Ukraine,barley,5.288345242842853
2026,Ukraine,barley,5.272170619064917
2027,Ukraine,barley,5.267903142709943
2028,Ukraine,barley,5.246599781311746
2016,USA,barley,2.957864195098086
2017,USA,barley,2.141802579867056
2018,USA,barley,2.3595791977572316
2019,USA,barley,2.4429454903677756
2020,USA,barley,2.4531798342372677
2021,USA,barley,2.566468848726533
2022,USA,barley,2.5776677925291773
2023,USA,barley,2.6848930020418447
2024,USA,barley,2.6957604178329855
2025,USA,barley,2.690263403918697
2026,USA,barley,2.6977063982149345
2027,USA,barley,2.7060793405461103
2028,USA,barley,2.7009917704156994
2016,World,barley,147167.0
2017,World,barley,144271.0
2018,World,barley,141254.0
2019,World,barley,146176.0
2020,World,barley,147319.0
2021,World,barley,148453.0
2022,World,barley,149515.0
2023,World,barley,150844.0
2024,World,barley,151831.0
2025,World,barley,152959.0
2026,World,barley,154168.0
2027,World,barley,155280.0
2028,World,barley,156387.0
2016,Argentina,beef,3.8664118239250644
2017,Argentina,beef,4.067078148047373
2018,Argentina,beef,4.141397124887691
2019,Argentina,beef,4.159906818087275
2020,Argentina,beef,4.176756276079075
2021,Argentina,beef,4.169999322171761
2022,Argentina,beef,4.172824246983906
2023,Argentina,beef,4.1606276178445585
2024,Argentina,beef,4.150928497163839
2025,Argentina,beef,4.14319983312474
2026,Argentina,beef,4.134547097940474
2027,Argentina,beef,4.134684269777914
2028,Argentina,beef,4.127841377299408
2016,Australia,beef,3.1004245757889666
2017,Australia,beef,3.0775179366738747
2018,Australia,beef,3.228885893980234
2019,Australia,beef,3.0228656211434197
2020,Australia,beef,3.0261987824064573
2021,Australia,beef,3.009557378160374
2022,Australia,beef,3.0107209071123413
2023,Australia,beef,2.997141147530084
2024,Australia,beef,2.984878196438677
2025,Australia,beef,2.985502711722987
2026,Australia,beef,2.978888243269417
2027,Australia,beef,2.973083614778426
2028,Australia,beef,2.9678368133470254
2016,Brazil,beef,13.545572593705774
2017,Brazil,beef,13.67626630769451
2018,Brazil,beef,13.898247978436656
2019,Brazil,beef,14.143683181496735
2020,Brazil,beef,14.2184827963609
2021,Brazil,beef,14.30353148512167
2022,Brazil,beef,14.407394470268963
2023,Brazil,beef,14.48706867894422
2024,Brazil,beef,14.567732255899346
2025,Brazil,beef,14.610711305798915
2026,Brazil,beef,14.69429918006327
2027,Brazil,beef,14.766912291474773
2028,Brazil,beef,14.83791630218436
2016,Canada,beef,1.648696362654839
2017,Canada,beef,1.7199157942974983
2018,Canada,beef,1.7407906558849957
2019,Canada,beef,1.726361329506219
2020,Canada,beef,1.7169437033996853
2021,Canada,beef,1.7108384735308073
2022,Canada,beef,1.7088964720423463
2023,Canada,beef,1.702014493717173
2024,Canada,beef,1.6951160127923353
2025,Canada,beef,1.6870045890696703
2026,Canada,beef,1.678610626896507
2027,Canada,beef,1.6669225258417766
2028,Canada,beef,1.6569682678532944
2016,Central AM & Carribean,beef,0.9191846977633172
2017,Central AM & Carribean,beef,0.8778587692792392
2018,Central AM & Carribean,beef,0.8872416891284816
2019,Central AM & Carribean,beef,0.8860601522525895
2020,Central AM & Carribean,beef,0.879677132498803
2021,Central AM & Carribean,beef,0.8838880227750288
2022,Central AM & Carribean,beef,0.8799742053362711
2023,Central AM & Carribean,beef,0.8815903197925671
2024,Central AM & Carribean,beef,0.8817761867786215
2025,Central AM & Carribean,beef,0.8865248226950355
2026,Central AM & Carribean,beef,0.8844986764800826
2027,Central AM & Carribean,beef,0.8827141541295671
2028,Central AM & Carribean,beef,0.8836318918850391
2016,China,beef,10.213163308481302
2017,China,beef,10.396826533388706
2018,China,beef,10.283299640610961
2019,China,beef,10.261103484615278
2020,China,beef,10.245570832478283
2021,China,beef,10.252829932895004
2022,China,beef,10.24934841604643
2023,China,beef,10.23469184229772
2024,China,beef,10.228603766632009
2025,China,beef,10.22371714643304
2026,China,beef,10.208535089418296
2027,China,beef,10.193429536383174
2028,China,beef,10.18014934266408
2016,West Africa,beef,1.016939260858781
2017,West Africa,beef,1.0267940254049177
2018,West Africa,beef,1.0332434860736748
2019,West Africa,beef,1.0469098825519643
2020,West Africa,beef,1.061632122580204
2021,West Africa,beef,1.081813868365756
2022,West Africa,beef,1.1043340408952897
2023,West Africa,beef,1.1235955056179776
2024,West Africa,beef,1.1397286235078898
2025,West Africa,beef,1.1576971214017522
2026,West Africa,beef,1.1763186777713215
2027,West Africa,beef,1.1897451642615904
2028,West Africa,beef,1.2081796168815528
2016,Egypt,beef,0.5208713287325464
2017,Egypt,beef,0.5155451173581177
2018,Egypt,beef,0.5124101527403414
2019,Egypt,beef,0.5172150810488512
2020,Egypt,beef,0.5034544086462822
2021,Egypt,beef,0.4988815834067647
2022,Egypt,beef,0.4943977214713706
2023,Egypt,beef,0.4906588657669038
2024,Egypt,beef,0.49089928010212813
2025,Egypt,beef,0.49019607843137253
2026,Egypt,beef,0.4893795596875201
2027,Egypt,beef,0.4899703203356872
2028,Egypt,beef,0.48935711659630576
2016,EU,beef,11.497103838690382
2017,EU,beef,11.260364604963554
2018,EU,beef,11.111579065588499
2019,EU,beef,10.815757727026915
2020,EU,beef,10.561597920514398
2021,EU,beef,10.434487900765946
2022,EU,beef,10.321895907784077
2023,EU,beef,10.197460275247657
2024,EU,beef,10.066725451745786
2025,EU,beef,9.942115143929913
2026,EU,beef,9.814707211569502
2027,EU,beef,9.691945553167537
2028,EU,beef,9.574157887397153
2016,India,beef,6.127897985088781
2017,India,beef,6.0862965243666665
2018,India,beef,6.036612758310871
2019,India,beef,6.004132174105966
2020,India,beef,6.097544291675217
2021,India,beef,6.168236968752118
2022,India,beef,6.232366929091544
2023,India,beef,6.289475433814242
2024,India,beef,6.343524209362621
2025,India,beef,6.3986232790988735
2026,India,beef,6.448447285170121
2027,India,beef,6.498823047794494
2028,India,beef,6.550539433816352
2016,Indonesia,beef,0.7966267380615417
2017,Indonesia,beef,0.7976628621346432
2018,Indonesia,beef,0.7959905660377359
2019,Indonesia,beef,0.8000887446787859
2020,Indonesia,beef,0.8030645050961078
2021,Indonesia,beef,0.8066156036060461
2022,Indonesia,beef,0.80877018566784
2023,Indonesia,beef,0.8097865833388738
2024,Indonesia,beef,0.8133398260137136
2025,Indonesia,beef,0.8174280350438048
2026,Indonesia,beef,0.818645490347989
2027,Indonesia,beef,0.8225872479787125
2028,Indonesia,beef,0.8265824871004958
2016,Japan,beef,0.6784458483491151
2017,Japan,beef,0.6716407223359923
2018,Japan,beef,0.6598158131176999
2019,Japan,beef,0.6489454636216149
2020,Japan,beef,0.6347903413366167
2021,Japan,beef,0.6303802616417
2022,Japan,beef,0.6341188166698014
2023,Japan,beef,0.6302772422046407
2024,Japan,beef,0.6225076661884895
2025,Japan,beef,0.6166562369628702
2026,Japan,beef,0.6094647814578088
2027,Japan,beef,0.6038276532596458
2028,Japan,beef,0.598384867962322
2016,South Korea,beef,0.404149462349903
2017,South Korea,beef,0.40241160549341964
2018,South Korea,beef,0.40010107816711593
2019,South Korea,beef,0.40212432574843654
2020,South Korea,beef,0.40358437649634044
2021,South Korea,beef,0.40805259947129396
2022,South Korea,beef,0.4111024531799984
2023,South Korea,beef,0.4135363340203444
2024,South Korea,beef,0.4158825000329021
2025,South Korea,beef,0.41979557780559035
2026,South Korea,beef,0.42352637355542644
2027,South Korea,beef,0.42600552655818236
2028,South Korea,beef,0.4272366536086918
2016,Malaysia,beef,0.04085265323392521
2017,Malaysia,beef,0.04009795357229805
2018,Malaysia,beef,0.04071203953279425
2019,Malaysia,beef,0.04021243257484366
2020,Malaysia,beef,0.039674396333538545
2021,Malaysia,beef,0.040669694299464515
2022,Malaysia,beef,0.04030416207647043
2023,Malaysia,beef,0.041220663519712784
2024,Malaysia,beef,0.04079859968677204
2025,Malaysia,beef,0.040415102211097204
2026,Malaysia,beef,0.04131964620052941
2027,Malaysia,beef,0.04093746801760311
2028,Malaysia,beef,0.04183623017533184
2016,Mexico,beef,2.741504836662338
2017,Mexico,beef,2.7567343080954902
2018,Mexico,beef,2.751572327044025
2019,Mexico,beef,2.7732712120581833
2020,Mexico,beef,2.77994390861208
2021,Mexico,beef,2.780451433606724
2022,Mexico,beef,2.789048015691754
2023,Mexico,beef,2.79502692640117
2024,Mexico,beef,2.804574707500362
2025,Mexico,beef,2.8147163120567376
2026,Mexico,beef,2.825230808961198
2027,Mexico,beef,2.8400368437212156
2028,Mexico,beef,2.855005768328706
2016,Morocco,beef,0.33995243583944906
2017,Morocco,beef,0.3436967449054118
2018,Morocco,beef,0.34535040431266845
2019,Morocco,beef,0.35081880832536017
2020,Morocco,beef,0.3584376496340379
2021,Morocco,beef,0.36060462278858535
2022,Morocco,beef,0.3640809307574495
2023,Morocco,beef,0.36699687520776547
2024,Morocco,beef,0.3711356487635392
2025,Morocco,beef,0.37416562369628703
2026,Morocco,beef,0.3783330105235974
2027,Morocco,beef,0.38123017091392897
2028,Morocco,beef,0.38413265888259235
2016,New Zealand,beef,0.9454471176994119
2017,New Zealand,beef,0.9365736298672471
2018,New Zealand,beef,0.9405884995507636
2019,New Zealand,beef,0.9096329575550841
2020,New Zealand,beef,0.9070387851426226
2021,New Zealand,beef,0.9055785264014099
2022,New Zealand,beef,0.9055001746513689
2023,New Zealand,beef,0.9095139950801143
2024,New Zealand,beef,0.9120461155784847
2025,New Zealand,beef,0.9086879432624113
2026,New Zealand,beef,0.9025760216928143
2027,New Zealand,beef,0.9019035922628186
2028,New Zealand,beef,0.897577301943483
2016,Other Asia & Oceania,beef,1.657450502633537
2017,Other Asia & Oceania,beef,1.6683612825616863
2018,Other Asia & Oceania,beef,1.6832322551662176
2019,Other Asia & Oceania,beef,1.7014018885976954
2020,Other Asia & Oceania,beef,1.7210479512962582
2021,Other Asia & Oceania,beef,1.7420185724937303
2022,Other Asia & Oceania,beef,1.755917994464895
2023,Other Asia & Oceania,beef,1.7698291337012166
2024,Other Asia & Oceania,beef,1.78066146374847
2025,Other Asia & Oceania,beef,1.7926053400083437
2026,Other Asia & Oceania,beef,1.8090257602169282
2027,Other Asia & Oceania,beef,1.8242759185344386
2028,Other Asia & Oceania,beef,1.8407941277146007
2016,Other Europe,beef,0.5179532820729803
2017,Other Europe,beef,0.5040885591946039
2018,Other Europe,beef,0.4913522012578616
2019,Other Europe,beef,0.47838928408003667
2020,Other Europe,beef,0.4678842602093166
2021,Other Europe,beef,0.45956754558394897
2022,Other Europe,beef,0.4514066152564688
2023,Other Europe,beef,0.4427897081311083
2024,Other Europe,beef,0.4343076740849927
2025,Other Europe,beef,0.4263141426783479
2026,Other Europe,beef,0.41965265672412677
2027,Other Europe,beef,0.4132125678026814
2028,Other Europe,beef,0.40568465624564204
2016,Other FSU,beef,2.467208450663126
2017,Other FSU,beef,2.468888284237208
2018,Other FSU,beef,2.4539532794249777
2019,Other FSU,beef,2.4571182938835503
2020,Other FSU,beef,2.4516040768862437
2021,Other FSU,beef,2.457805192164306
2022,Other FSU,beef,2.4625843028723433
2023,Other FSU,beef,2.462602220597035
2024,Other FSU,beef,2.455812484371504
2025,Other FSU,beef,2.464017521902378
2026,Other FSU,beef,2.459810187875266
2027,Other FSU,beef,2.4511308975539863
2028,Other FSU,beef,2.460730993039973
2016,Other Middle East,beef,0.41873969564773345
2017,Other Middle East,beef,0.4167323031978118
2018,Other Middle East,beef,0.41413971248876913
2019,Other Middle East,beef,0.41460404620269836
2020,Other Middle East,beef,0.41589712018605923
2021,Other Middle East,beef,0.41754219480783566
2022,Other Middle East,beef,0.4205067576645081
2023,Other Middle East,beef,0.4228442257828602
2024,Other Middle East,beef,0.4250950870589474
2025,Other Middle East,beef,0.4263141426783479
2026,Other Middle East,beef,0.42869132933049264
2027,Other Middle East,beef,0.43240200593593286
2028,Other Middle East,beef,0.43484324091329757
2016,Other North Africa,beef,0.3020178292650899
2017,Other North Africa,beef,0.29643844248091766
2018,Other North Africa,beef,0.290599730458221
2019,Other North Africa,beef,0.28703357044802197
2020,Other North Africa,beef,0.28456118749572473
2021,Other North Africa,beef,0.2833322036196028
2022,Other North Africa,beef,0.28078566246607733
2023,Other North Africa,beef,0.2792367528754737
2024,Other North Africa,beef,0.2776936946422226
2025,Other North Africa,beef,0.27638715060492286
2026,Other North Africa,beef,0.27374265607850734
2027,Other North Africa,beef,0.27249002149217066
2028,Other North Africa,beef,0.27130161386427315
2016,Other South America,beef,4.480660645763726
2017,Other South America,beef,4.329146916037749
2018,Other South America,beef,4.2017632524707995
2019,Other South America,beef,4.083641859755675
2020,Other South America,beef,4.101511731308571
2021,Other South America,beef,4.130685284348946
2022,Other South America,beef,4.136550501115082
2023,Other South America,beef,4.152649424905259
2024,Other South America,beef,4.148296329442112
2025,Other South America,beef,4.160148101793909
2026,Other South America,beef,4.182322938859836
2027,Other South America,beef,4.20632483880872
2028,Other South America,beef,4.224191483157748
2016,Pakistan,beef,2.5532908271203256
2017,Pakistan,beef,2.5490841913818043
2018,Pakistan,beef,2.526954177897574
2019,Pakistan,beef,2.523676802972947
2020,Pakistan,beef,2.525480539024557
2021,Pakistan,beef,2.5472785196231276
2022,Pakistan,beef,2.5620012359943036
2023,Pakistan,beef,2.578286018216874
2024,Pakistan,beef,2.588736954318729
2025,Pakistan,beef,2.6061222361284937
2026,Pakistan,beef,2.6237975337336175
2027,Pakistan,beef,2.6417459830109506
2028,Pakistan,beef,2.6610377920612582
2016,Philippines,beef,0.303476852594873
2017,Philippines,beef,0.2935743029400392
2018,Philippines,beef,0.2849842767295597
2019,Philippines,beef,0.2801003924178765
2020,Philippines,beef,0.2777207743347698
2021,Philippines,beef,0.27655392123635875
2022,Philippines,beef,0.27541177418921464
2023,Philippines,beef,0.2739179575826075
2024,Philippines,beef,0.27242935919876815
2025,Philippines,beef,0.2724760116812682
2026,Philippines,beef,0.2711601781909742
2027,Philippines,beef,0.2699314297410705
2028,Philippines,beef,0.26876608476273783
2016,Russia,beef,1.9477961452603627
