calendar_year,slaughter,yield,production,imports,exports,total_consumption,ending_stocks,country
2016,50000,140,7000,812,23,7759,30,China
2017,51850,140,7260,974,17,8227,20,China
2018,52050,141,7325,1200,15,8530,0,China
2019,52500,141,7400,1320,15,8705,0,China
2020,53076,141,7489,1382,16,8855,0,China
2021,53549,141,7563,1453,17,8999,0,China
2022,53960,141,7629,1523,18,9134,0,China
2023,54391,142,7697,1589,18,9269,0,China
2024,54863,142,7772,1648,17,9403,0,China
2025,55300,142,7842,1702,17,9527,0,China
2026,55698,142,7906,1762,17,9651,0,China
2027,56078,142,7968,1825,17,9776,0,China
2028,56456,142,8030,1887,17,9900,0,China
2016,9623,72,697,32,0,729,0,West Africa
2017,9892,72,717,33,0,750,0,West Africa
2018,10148,73,736,33,0,769,0,West Africa
2019,10402,73,755,34,0,789,0,West Africa
2020,10680,73,776,34,0,810,0,West Africa
2021,10928,73,798,35,0,833,0,West Africa
2022,11181,74,822,34,0,856,0,West Africa
2023,11425,74,845,35,0,879,0,West Africa
2024,11643,74,866,36,0,902,0,West Africa
2025,11861,75,888,36,0,923,0,West Africa
2026,12094,75,911,36,0,946,0,West Africa
2027,12285,76,930,36,0,967,0,West Africa
2028,12507,76,953,37,0,990,0,West Africa
2016,1680,213,357,340,0,697,0,Egypt
2017,1690,213,360,250,0,610,0,Egypt
2018,1700,215,365,300,0,665,0,Egypt
2019,1775,210,373,330,0,703,0,Egypt
2020,1753,210,368,345,0,714,0,Egypt
2021,1749,210,368,364,0,732,0,Egypt
2022,1753,210,368,378,0,746,0,Egypt
2023,1757,210,369,394,0,763,0,Egypt
2024,1773,210,373,409,0,782,0,Egypt
2025,1788,210,376,419,0,795,0,Egypt
2026,1802,210,379,432,0,811,0,Egypt
2027,1823,210,383,446,0,829,0,Egypt
2028,1839,210,386,460,0,846,0,Egypt
2016,27264,289,7880,368,350,7898,0,EU
2017,27028,291,7863,338,369,7832,0,EU
2018,27200,291,7915,370,350,7935,0,EU
2019,26900,290,7800,370,350,7820,0,EU
2020,26623,290,7720,367,353,7733,1,EU
2021,26544,290,7697,366,354,7709,1,EU
2022,26496,290,7683,368,350,7701,1,EU
2023,26448,290,7669,367,349,7687,1,EU
2024,26378,290,7649,366,349,7666,1,EU
2025,26298,290,7626,366,349,7643,1,EU
2026,26213,290,7601,366,347,7620,1,EU
2027,26126,290,7576,365,347,7594,1,EU
2028,26045,290,7552,364,348,7568,1,EU
2016,38000,111,4200,0,1764,2436,0,India
2017,38400,111,4250,0,1849,2401,0,India
2018,38900,111,4300,0,1665,2635,0,India
2019,39000,111,4330,0,1625,2705,0,India
2020,40005,111,4457,0,1702,2755,0,India
2021,40698,112,4550,0,1752,2798,0,India
2022,41348,112,4639,0,1791,2848,0,India
2023,42010,113,4730,0,1831,2899,0,India
2024,42663,113,4820,0,1871,2949,0,India
2025,43289,113,4908,0,1921,2987,0,India
2026,43892,114,4994,0,1970,3024,0,India
2027,44491,114,5080,0,2007,3073,0,India
2028,45094,115,5167,0,2047,3120,0,India
2016,2428,225,546,86,2,630,0,Indonesia
2017,2471,225,557,90,2,645,0,Indonesia
2018,2510,226,567,94,2,659,0,Indonesia
2019,2549,226,577,98,2,673,0,Indonesia
2020,2587,227,587,103,2,688,0,Indonesia
2021,2618,227,595,107,2,700,0,Indonesia
2022,2644,228,602,110,2,710,0,Indonesia
2023,2667,228,609,113,2,720,0,Indonesia
2024,2701,229,618,116,2,732,0,Indonesia
2025,2734,229,627,120,2,744,0,Indonesia
2026,2762,230,634,123,2,755,0,Indonesia
2027,2796,230,643,127,2,768,0,Indonesia
2028,2826,231,652,130,2,780,0,Indonesia
2016,1051,442,465,719,3,1215,151,Japan
2017,1045,449,469,817,4,1277,156,Japan
2018,1040,452,470,835,5,1316,140,Japan
2019,1035,452,468,850,3,1320,135,Japan
2020,1023,453,464,857,3,1319,133,Japan
2021,1022,455,465,851,3,1315,132,Japan
2022,1035,456,472,847,3,1317,131,Japan
2023,1035,457,474,842,3,1314,130,Japan
2024,1031,459,473,839,3,1310,129,Japan
2025,1026,461,473,840,3,1311,128,Japan
2026,1022,462,472,840,3,1310,127,Japan
2027,1018,463,472,838,3,1308,126,Japan
2028,1015,465,472,838,3,1308,125,Japan
2016,861,322,277,513,5,785,13,South Korea
2017,873,322,281,531,0,818,7,South Korea
2018,886,322,285,560,0,841,11,South Korea
2019,903,321,290,565,0,851,15,South Korea
2020,890,331,295,577,1,871,15,South Korea
2021,886,340,301,589,1,890,15,South Korea
2022,889,344,306,605,1,910,14,South Korea
2023,890,349,311,618,1,928,14,South Korea
2024,890,356,316,635,1,950,14,South Korea
2025,890,362,322,647,1,968,14,South Korea
2026,889,368,328,661,1,987,13,South Korea
2027,888,375,333,672,1,1004,13,South Korea
2028,888,379,337,682,1,1018,13,South Korea
2016,     --,     --,28,218,7,239,0,Malaysia
2017,     --,     --,28,211,7,232,0,Malaysia
2018,     --,     --,29,205,5,229,0,Malaysia
2019,     --,     --,29,210,5,234,0,Malaysia
2020,     --,     --,29,219,5,243,0,Malaysia
2021,     --,     --,30,228,5,253,0,Malaysia
2022,     --,     --,30,237,5,262,0,Malaysia
2023,     --,     --,31,247,6,272,0,Malaysia
2024,     --,     --,31,252,6,277,0,Malaysia
2025,     --,     --,31,259,6,284,0,Malaysia
2026,     --,     --,32,266,6,292,0,Malaysia
2027,     --,     --,32,274,6,300,0,Malaysia
2028,     --,     --,33,281,6,308,0,Malaysia
2016,5955,316,1879,188,258,1809,0,Mexico
2017,6070,317,1925,196,280,1841,0,Mexico
2018,6160,318,1960,210,305,1865,0,Mexico
2019,6240,321,2000,220,330,1890,0,Mexico
2020,6996,290,2032,225,341,1916,0,Mexico
2021,7137,287,2051,232,345,1938,0,Mexico
2022,7220,288,2076,238,358,1956,0,Mexico
2023,7250,290,2102,244,371,1975,0,Mexico
2024,7189,296,2131,250,383,1997,0,Mexico
2025,7080,305,2159,256,396,2019,0,Mexico
2026,6927,316,2188,264,409,2043,0,Mexico
2027,6746,329,2220,272,422,2069,0,Mexico
2028,6531,345,2252,280,435,2097,0,Mexico
2016,     --,     --,233,10,1,242,0,Morocco
2017,     --,     --,240,10,1,249,0,Morocco
2018,     --,     --,246,11,1,256,0,Morocco
2019,     --,     --,253,11,1,263,0,Morocco
2020,     --,     --,262,10,3,268,0,Morocco
2021,     --,     --,266,10,3,273,0,Morocco
2022,     --,     --,271,10,3,278,0,Morocco
2023,     --,     --,276,10,3,284,0,Morocco
2024,     --,     --,282,10,3,289,0,Morocco
2025,     --,     --,287,10,3,294,0,Morocco
2026,     --,     --,293,10,3,299,0,Morocco
2027,     --,     --,298,10,3,305,0,Morocco
2028,     --,     --,303,10,3,310,0,Morocco
2016,4400,147,648,11,587,72,0,New Zealand
2017,4157,157,654,13,593,74,0,New Zealand
2018,4225,159,670,13,603,80,0,New Zealand
2019,4165,158,656,13,589,80,0,New Zealand
2020,4053,164,663,13,595,82,0,New Zealand
2021,4074,164,668,13,598,83,0,New Zealand
2022,4100,164,674,13,603,85,0,New Zealand
2023,4154,165,684,13,612,86,0,New Zealand
2024,4203,165,693,13,620,87,0,New Zealand
2025,4216,165,697,13,622,88,0,New Zealand
2026,4217,166,699,13,622,90,0,New Zealand
2027,4250,166,705,14,628,91,0,New Zealand
2028,4257,166,708,14,629,92,0,New Zealand
2016,10460,109,1136,133,8,1261,0,Other Asia & Oceania
2017,10678,109,1165,145,7,1303,0,Other Asia & Oceania
2018,10940,110,1199,150,7,1342,0,Other Asia & Oceania
2019,11144,110,1227,157,8,1376,0,Other Asia & Oceania
2020,11377,111,1258,167,8,1417,0,Other Asia & Oceania
2021,11590,111,1285,178,9,1454,0,Other Asia & Oceania
2022,11752,111,1307,186,9,1485,0,Other Asia & Oceania
2023,11926,112,1331,200,9,1522,0,Other Asia & Oceania
2024,12089,112,1353,210,9,1555,0,Other Asia & Oceania
2025,12252,112,1375,223,9,1589,0,Other Asia & Oceania
2026,12443,113,1401,234,9,1626,0,Other Asia & Oceania
2027,12629,113,1426,247,9,1664,0,Other Asia & Oceania
2028,12822,113,1452,258,9,1702,0,Other Asia & Oceania
2016,     --,     --,355,123,12,466,0,Other Europe
2017,     --,     --,352,118,4,466,0,Other Europe
2018,     --,     --,350,114,4,460,0,Other Europe
2019,     --,     --,345,114,4,455,0,Other Europe
2020,     --,     --,342,116,4,453,0,Other Europe
2021,     --,     --,339,118,4,453,0,Other Europe
2022,     --,     --,336,120,4,452,0,Other Europe
2023,     --,     --,333,122,4,451,0,Other Europe
2024,     --,     --,330,124,4,450,0,Other Europe
2025,     --,     --,327,126,4,449,0,Other Europe
2026,     --,     --,325,128,4,449,0,Other Europe
2027,     --,     --,323,130,4,449,0,Other Europe
2028,     --,     --,320,132,4,448,0,Other Europe
2016,1285,1316,1691,84,230,1545,0,Other FSU
2017,1225,1407,1724,94,213,1605,0,Other FSU
2018,1250,1398,1748,96,227,1617,0,Other FSU
2019,1260,1406,1772,100,233,1639,0,Other FSU
2020,1268,1413,1792,105,246,1652,0,Other FSU
2021,1277,1420,1813,110,259,1664,0,Other FSU
2022,1284,1428,1833,116,271,1678,0,Other FSU
2023,1291,1435,1852,120,282,1690,0,Other FSU
2024,1294,1442,1866,124,290,1700,0,Other FSU
2025,1304,1449,1890,129,300,1718,0,Other FSU
2026,1308,1456,1905,132,307,1730,0,Other FSU
2027,1309,1464,1916,137,315,1738,0,Other FSU
2028,1319,1472,1941,141,324,1758,0,Other FSU
2016,     --,     --,287,351,2,636,0,Other Middle East
2017,     --,     --,291,364,2,653,0,Other Middle East
2018,     --,     --,295,354,2,647,0,Other Middle East
2019,     --,     --,299,362,2,659,0,Other Middle East
2020,     --,     --,304,368,2,670,0,Other Middle East
2021,     --,     --,308,375,2,681,0,Other Middle East
2022,     --,     --,313,380,2,691,0,Other Middle East
2023,     --,     --,318,392,2,708,0,Other Middle East
2024,     --,     --,323,404,2,725,0,Other Middle East
2025,     --,     --,327,413,2,738,0,Other Middle East
2026,     --,     --,332,427,2,757,0,Other Middle East
2027,     --,     --,338,439,2,775,0,Other Middle East
2028,     --,     --,343,449,2,790,0,Other Middle East
2016,     --,     --,207,102,0,309,0,Other North Africa
2017,     --,     --,207,81,0,288,0,Other North Africa
2018,     --,     --,207,73,0,280,0,Other North Africa
2019,     --,     --,207,68,0,275,0,Other North Africa
2020,     --,     --,208,68,0,276,0,Other North Africa
2021,     --,     --,209,67,0,276,0,Other North Africa
2022,     --,     --,209,68,0,277,0,Other North Africa
2023,     --,     --,210,71,0,281,0,Other North Africa
2024,     --,     --,211,74,0,285,0,Other North Africa
2025,     --,     --,212,77,0,289,0,Other North Africa
2026,     --,     --,212,80,0,292,0,Other North Africa
2027,     --,     --,213,82,0,296,0,Other North Africa
2028,     --,     --,214,85,0,299,0,Other North Africa
2016,2280,1347,3071,378,838,2611,0,Other South America
2017,2340,1292,3023,334,852,2505,0,Other South America
2018,2300,1301,2993,373,853,2513,0,Other South America
2019,2100,1402,2945,383,793,2535,0,Other South America
2020,7091,423,2998,397,836,2558,0,Other South America
2021,7161,425,3047,411,871,2587,0,Other South America
2022,7191,428,3079,421,891,2610,0,Other South America
2023,7249,431,3123,431,908,2645,0,Other South America
2024,7273,433,3152,443,916,2678,0,Other South America
2025,7317,436,3191,452,928,2715,0,Other South America
2026,7380,439,3239,458,942,2756,0,Other South America
2027,7446,442,3288,465,955,2798,0,Other South America
2028,7500,444,3332,474,968,2838,0,Other South America
2016,     --,     --,1750,1,66,1685,0,Pakistan
2017,     --,     --,1780,1,59,1722,0,Pakistan
2018,     --,     --,1800,1,60,1741,0,Pakistan
2019,     --,     --,1820,1,60,1761,0,Pakistan
2020,     --,     --,1846,1,61,1786,0,Pakistan
2021,     --,     --,1879,1,62,1818,0,Pakistan
2022,     --,     --,1907,1,63,1845,0,Pakistan
2023,     --,     --,1939,1,64,1876,0,Pakistan
2024,     --,     --,1967,1,63,1905,0,Pakistan
2025,     --,     --,1999,1,64,1936,0,Pakistan
2026,     --,     --,2032,1,64,1969,0,Pakistan
2027,     --,     --,2065,1,64,2002,0,Pakistan
2028,     --,     --,2099,1,64,2036,0,Pakistan
2016,1206,173,208,163,1,370,0,Philippines
2017,1188,173,205,169,1,373,0,Philippines
2018,1175,173,203,170,1,372,0,Philippines
2019,1169,173,202,175,1,376,0,Philippines
2020,1174,173,203,181,1,383,0,Philippines
2021,1180,173,204,188,1,391,0,Philippines
2022,1186,173,205,193,1,397,0,Philippines
2023,1191,173,206,199,1,405,0,Philippines
2024,1197,173,207,202,1,409,0,Philippines
2025,1203,173,209,208,1,415,0,Philippines
2026,1208,174,210,212,1,421,0,Philippines
2027,1214,173,211,217,1,426,0,Philippines
2028,1219,174,212,222,1,433,0,Philippines
2016,6548,204,1335,524,10,1849,0,Russia
2017,6500,206,1336,516,12,1840,0,Russia
2018,6515,206,1340,495,12,1823,0,Russia
2019,6550,207,1355,470,15,1810,0,Russia
2020,6590,206,1359,458,15,1802,0,Russia
2021,6643,205,1363,447,15,1795,0,Russia
2022,6639,205,1358,436,15,1779,0,Russia
2023,6640,204,1354,423,15,1762,0,Russia
2024,6618,205,1354,413,15,1752,0,Russia
2025,6575,205,1351,402,15,1738,0,Russia
2026,6515,207,1347,396,16,1727,0,Russia
2027,6455,208,1341,389,16,1714,0,Russia
2028,6409,208,1335,385,16,1704,0,Russia
2016,     --,     --,58,165,10,213,0,Saudi Arabia
2017,     --,     --,60,150,10,200,0,Saudi Arabia
2018,     --,     --,60,155,10,205,0,Saudi Arabia
2019,     --,     --,60,160,10,210,0,Saudi Arabia
2020,     --,     --,59,165,10,214,0,Saudi Arabia
2021,     --,     --,58,167,10,216,0,Saudi Arabia
2022,     --,     --,58,172,10,220,0,Saudi Arabia
2023,     --,     --,58,175,10,223,0,Saudi Arabia
2024,     --,     --,58,181,10,229,0,Saudi Arabia
2025,     --,     --,58,184,10,233,0,Saudi Arabia
2026,     --,     --,58,189,10,237,0,Saudi Arabia
2027,     --,     --,59,193,10,241,0,Saudi Arabia
2028,     --,     --,59,197,10,245,0,Saudi Arabia
2016,4310,253,1090,43,62,1071,0,South Africa Republic
2017,3964,253,1003,32,52,983,0,South Africa Republic
2018,4081,253,1033,40,50,1023,0,South Africa Republic
2019,4285,253,1085,40,55,1070,0,South Africa Republic
2020,4367,253,1106,40,55,1091,0,South Africa Republic
2021,4446,253,1126,40,58,1108,0,South Africa Republic
2022,4528,253,1147,40,58,1129,0,South Africa Republic
2023,4609,253,1168,40,57,1151,0,South Africa Republic
2024,4701,253,1191,40,58,1173,0,South Africa Republic
2025,4769,253,1208,40,58,1191,0,South Africa Republic
2026,4850,253,1229,40,58,1211,0,South Africa Republic
2027,4935,253,1250,40,58,1232,0,South Africa Republic
2028,5011,253,1270,39,58,1252,0,South Africa Republic
2016,     --,     --,7,154,0,161,0,Taiwan
2017,     --,     --,7,160,0,167,0,Taiwan
2018,     --,     --,7,175,0,182,0,Taiwan
2019,     --,     --,7,185,0,192,0,Taiwan
2020,     --,     --,7,190,0,197,0,Taiwan
2021,     --,     --,7,194,0,201,0,Taiwan
2022,     --,     --,7,198,0,205,0,Taiwan
2023,     --,     --,7,203,0,210,0,Taiwan
2024,     --,     --,7,208,0,215,0,Taiwan
2025,     --,     --,7,212,0,219,0,Taiwan
2026,     --,     --,7,216,0,222,0,Taiwan
2027,     --,     --,7,220,0,227,0,Taiwan
2028,     --,     --,7,224,0,231,0,Taiwan
2016,695,246,171,31,70,132,0,Thailand
2017,682,246,168,33,74,127,0,Thailand
2018,670,246,165,35,79,121,0,Thailand
2019,657,246,162,37,83,116,0,Thailand
2020,648,246,160,38,83,115,0,Thailand
2021,645,247,159,40,83,115,0,Thailand
2022,643,247,159,42,83,117,0,Thailand
2023,641,246,158,44,83,119,0,Thailand
2024,646,246,159,46,83,122,0,Thailand
2025,652,247,161,48,83,125,0,Thailand
2026,654,247,161,49,83,128,0,Thailand
2027,659,247,163,51,83,131,0,Thailand
2028,660,247,163,53,83,133,0,Thailand
2016,3902,380,1484,9,1,1495,20,Turkey
2017,4308,325,1399,26,1,1424,20,Turkey
2018,4600,304,1400,70,1,1489,0,Turkey
2019,4650,301,1400,70,1,1469,0,Turkey
2020,4909,291,1427,81,1,1507,0,Turkey
2021,4988,291,1454,90,1,1543,0,Turkey
2022,5072,292,1483,96,1,1578,0,Turkey
2023,5159,293,1513,102,1,1614,0,Turkey
2024,5251,294,1545,107,1,1651,0,Turkey
2025,5349,295,1579,111,1,1689,0,Turkey
2026,5444,296,1612,117,1,1728,0,Turkey
2027,5547,297,1647,122,1,1768,0,Turkey
2028,5648,298,1682,128,1,1809,0,Turkey
2016,2137,183,391,2,50,343,0,Ukraine
2017,2247,167,376,2,60,318,0,Ukraine
2018,2095,167,350,2,50,302,0,Ukraine
2019,1988,169,335,2,45,292,0,Ukraine
2020,1944,169,329,2,46,285,0,Ukraine
2021,1927,170,328,2,48,282,0,Ukraine
2022,1906,171,326,2,49,279,0,Ukraine
2023,1883,172,324,2,51,276,0,Ukraine
2024,1883,173,325,2,52,275,0,Ukraine
2025,1883,174,327,2,53,277,0,Ukraine
2026,1877,174,327,2,55,275,0,Ukraine
2027,1876,175,329,2,56,276,0,Ukraine
2028,1864,177,329,2,57,274,0,Ukraine
2016,     --,     --,11507,1366,1160,11676,350,USA
2017,     --,     --,11943,1358,1297,12052,302,USA
2018,     --,     --,12286,1373,1435,12206,320,USA
2019,     --,     --,12725,1406,1472,12657,322,USA
2020,     --,     --,13003,1412,1489,12956,292,USA
2021,     --,     --,13014,1437,1516,12936,291,USA
2022,     --,     --,13025,1429,1507,12947,291,USA
2023,     --,     --,13127,1432,1510,13050,290,USA
2024,     --,     --,13232,1429,1507,13154,290,USA
2025,     --,     --,13311,1443,1521,13233,290,USA
2026,     --,     --,13394,1447,1526,13315,290,USA
2027,     --,     --,13452,1456,1535,13373,290,USA
2028,     --,     --,13505,1461,1547,13419,290,USA
2016,236869,289,68539,9574,9574,68541,620,World
2017,242741,288,69829,10116,10116,69892,557,World
2018,246795,289,71232,10714,10714,71256,533,World
2019,248547,290,72117,10736,10736,72116,534,World
2020,262541,278,73095,11101,11101,73148,481,World
2021,265166,278,73765,11327,11327,73768,478,World
2022,267679,278,74434,11510,11510,74435,477,World
2023,270155,278,75205,11703,11703,75207,475,World
2024,272532,279,75983,11881,11881,75984,474,World
2025,274554,279,76704,12057,12057,76705,473,World
2026,276638,280,77445,12251,12251,77446,472,World
2027,278708,280,78168,12441,12441,78169,471,World
2028,280682,281,78879,12631,12631,78880,470,World
