crop_year,area_harvest,yield,production,imports,exports,total_consumption,food_seed_and_industrial_use,feed_use,ending_stocks,country
 2017/18,1065,1.24,1325,5,0,1400,250,1150,15,Iraq
 2018/19,1000,1,1000,5,0,1000,200,800,20,Iraq
 2019/20,1070,1.15,1233,0,0,1232,201,1031,21,Iraq
 2020/21,1097,1.15,1267,1,0,1267,206,1061,22,Iraq
 2021/22,1117,1.16,1294,0,0,1293,210,1083,23,Iraq
 2022/23,1129,1.16,1311,0,0,1311,214,1097,23,Iraq
 2023/24,1159,1.16,1349,1,0,1349,224,1125,24,Iraq
 2024/25,1185,1.17,1382,0,0,1380,230,1150,26,Iraq
 2025/26,1206,1.17,1410,0,0,1410,238,1172,26,Iraq
 2026/27,1235,1.17,1449,1,0,1447,245,1202,28,Iraq
 2027/28,1256,1.18,1477,1,0,1476,252,1224,29,Iraq
 2028/29,1278,1.18,1506,1,0,1505,258,1247,30,Iraq
 2016/17,61,2.87,175,1197,0,1415,380,1035,309,Japan
 2017/18,61,3.05,186,1200,0,1434,380,1054,261,Japan
 2018/19,62,2.87,178,1100,0,1340,380,960,199,Japan
 2019/20,63,2.88,180,1124,0,1321,384,937,182,Japan
 2020/21,63,2.88,181,1120,0,1304,387,917,180,Japan
 2021/22,63,2.88,182,1119,0,1302,391,911,179,Japan
 2022/23,63,2.89,183,1112,0,1296,394,902,178,Japan
 2023/24,64,2.9,185,1111,0,1297,400,897,177,Japan
 2024/25,64,2.91,186,1109,0,1296,404,892,176,Japan
 2025/26,64,2.91,187,1106,0,1294,408,886,175,Japan
 2026/27,65,2.91,188,1107,0,1295,411,884,175,Japan
 2027/28,65,2.92,189,1104,0,1294,415,879,175,Japan
 2028/29,65,2.93,191,1104,0,1296,421,875,174,Japan
 2016/17,35,3.57,125,56,0,175,150,25,17,South Korea
 2017/18,35,3.6,126,80,0,215,185,30,8,South Korea
 2018/19,35,3.6,126,90,0,215,185,30,9,South Korea
 2019/20,35,3.63,127,91,0,216,186,30,11,South Korea
 2020/21,35,3.63,127,92,0,218,188,31,12,South Korea
 2021/22,35,3.66,128,94,0,221,190,31,13,South Korea
 2022/23,35,3.69,129,96,0,225,193,31,13,South Korea
 2023/24,35,3.69,129,98,0,227,195,32,13,South Korea
 2024/25,35,3.71,130,100,0,230,198,33,13,South Korea
 2025/26,35,3.71,130,102,0,232,200,33,13,South Korea
 2026/27,35,3.74,131,105,0,236,202,33,13,South Korea
 2027/28,35,3.77,132,107,0,239,205,34,13,South Korea
 2028/29,35,3.77,132,108,0,240,206,34,13,South Korea
 2016/17,330,2.96,978,1,0,950,800,150,415,Mexico
 2017/18,357,2.81,1004,5,0,1010,830,180,414,Mexico
 2018/19,360,2.78,1000,10,0,1050,850,200,374,Mexico
 2019/20,364,2.8,1017,0,1,1023,842,181,367,Mexico
 2020/21,363,2.82,1022,0,0,1029,847,182,360,Mexico
 2021/22,362,2.84,1027,0,0,1034,851,183,353,Mexico
 2022/23,362,2.86,1035,0,0,1042,858,184,347,Mexico
 2023/24,363,2.88,1043,0,0,1050,869,181,340,Mexico
 2024/25,362,2.9,1050,0,0,1057,880,176,334,Mexico
 2025/26,362,2.92,1055,0,0,1061,887,174,327,Mexico
 2026/27,362,2.94,1062,0,0,1068,896,172,321,Mexico
 2027/28,362,2.96,1069,0,0,1075,904,171,315,Mexico
 2028/29,361,2.98,1076,0,0,1082,912,170,309,Mexico
 2016/17,1208,0.51,620,479,0,2200,750,1450,158,Morocco
 2017/18,1800,1.11,2000,429,0,2450,800,1650,137,Morocco
 2018/19,1500,1.67,2500,200,0,2450,800,1650,387,Morocco
 2019/20,1547,1.2,1861,300,0,2328,786,1542,220,Morocco
 2020/21,1595,1.22,1938,300,0,2291,785,1506,167,Morocco
 2021/22,1611,1.23,1978,300,0,2298,791,1507,147,Morocco
 2022/23,1613,1.24,1999,300,0,2313,797,1516,133,Morocco
 2023/24,1608,1.25,2013,300,0,2324,804,1520,122,Morocco
 2024/25,1602,1.27,2027,300,0,2337,811,1526,112,Morocco
 2025/26,1601,1.28,2045,300,0,2353,816,1537,104,Morocco
 2026/27,1599,1.29,2063,300,0,2369,822,1547,98,Morocco
 2027/28,1596,1.3,2080,300,0,2387,829,1558,91,Morocco
 2028/29,1592,1.32,2096,300,0,2404,837,1567,83,Morocco
 2016/17,303,2.64,799,224,0,1007,557,450,107,Other Asia & Oceania
 2017/18,324,2.26,731,371,0,1156,706,450,53,Other Asia & Oceania
 2018/19,337,2.27,765,201,0,936,486,450,83,Other Asia & Oceania
 2019/20,350,2.47,865,200,0,1064,589,475,84,Other Asia & Oceania
 2020/21,360,2.48,893,200,0,1093,598,494,84,Other Asia & Oceania
 2021/22,365,2.49,910,199,0,1109,608,501,85,Other Asia & Oceania
 2022/23,367,2.5,917,201,0,1118,616,502,85,Other Asia & Oceania
 2023/24,369,2.5,923,202,0,1125,626,499,85,Other Asia & Oceania
 2024/25,370,2.5,927,203,0,1130,635,495,85,Other Asia & Oceania
 2025/26,372,2.51,935,204,0,1139,645,494,85,Other Asia & Oceania
 2026/27,374,2.51,941,205,0,1146,654,492,85,Other Asia & Oceania
 2027/28,376,2.52,949,206,1,1154,663,491,85,Other Asia & Oceania
 2028/29,378,2.53,956,207,1,1162,671,491,85,Other Asia & Oceania
 2016/17,329,4.22,1388,115,26,1449,329,1120,107,Other Europe
 2017/18,323,3.98,1284,95,50,1357,332,1025,79,Other Europe
 2018/19,325,4.11,1337,125,80,1377,332,1045,84,Other Europe
 2019/20,325,4.15,1347,153,85,1416,342,1074,83,Other Europe
 2020/21,323,4.17,1347,156,87,1417,345,1072,82,Other Europe
 2021/22,321,4.2,1346,160,91,1417,349,1068,80,Other Europe
 2022/23,319,4.22,1346,161,94,1414,350,1064,78,Other Europe
 2023/24,318,4.22,1343,165,96,1412,355,1057,78,Other Europe
 2024/25,318,4.23,1346,170,99,1418,359,1059,77,Other Europe
 2025/26,316,4.25,1342,172,101,1414,360,1054,75,Other Europe
 2026/27,314,4.25,1337,175,103,1410,364,1046,74,Other Europe
 2027/28,314,4.27,1340,176,105,1413,367,1046,73,Other Europe
 2028/29,313,4.29,1340,180,107,1414,370,1044,72,Other Europe
 2016/17,3333,2.03,6754,175,801,5829,1172,4657,970,Other FSU
 2017/18,3462,1.95,6752,196,1530,5713,1170,4543,675,Other FSU
 2018/19,3973,2.04,8107,195,2150,6157,1169,4988,670,Other FSU
 2019/20,4016,2.05,8238,206,2201,6234,1182,5052,679,Other FSU
 2020/21,4044,2.06,8342,216,2238,6311,1193,5118,688,Other FSU
 2021/22,4052,2.08,8408,227,2278,6348,1205,5143,697,Other FSU
 2022/23,4063,2.09,8477,240,2315,6393,1218,5175,706,Other FSU
 2023/24,4066,2.1,8531,253,2347,6428,1230,5198,715,Other FSU
 2024/25,4072,2.11,8595,266,2384,6468,1241,5227,724,Other FSU
 2025/26,4081,2.12,8669,279,2432,6506,1252,5254,734,Other FSU
 2026/27,4096,2.14,8768,289,2480,6565,1260,5305,746,Other FSU
 2027/28,4128,2.16,8907,301,2529,6668,1271,5397,757,Other FSU
 2028/29,4161,2.18,9057,310,2579,6776,1278,5498,769,Other FSU
 2016/17,958,0.84,808,2755,0,3459,289,3170,631,Other Middle East
 2017/18,878,0.97,855,1918,0,2844,289,2555,560,Other Middle East
 2018/19,878,0.66,578,1570,0,2489,289,2200,219,Other Middle East
 2019/20,1004,0.8,807,2070,0,2816,296,2520,280,Other Middle East
 2020/21,1094,0.8,878,2153,0,2973,297,2676,338,Other Middle East
 2021/22,1121,0.8,900,2216,0,3084,298,2786,370,Other Middle East
 2022/23,1130,0.8,909,2288,0,3171,298,2873,396,Other Middle East
 2023/24,1141,0.8,917,2338,0,3247,300,2947,404,Other Middle East
 2024/25,1148,0.8,922,2420,0,3334,302,3032,412,Other Middle East
 2025/26,1155,0.8,928,2499,0,3419,303,3116,420,Other Middle East
 2026/27,1158,0.8,931,2565,0,3489,307,3182,427,Other Middle East
 2027/28,1159,0.8,932,2629,0,3554,309,3245,434,Other Middle East
 2028/29,1161,0.81,935,2688,0,3617,314,3303,440,Other Middle East
 2016/17,1390,1.06,1475,2304,0,4320,520,3800,1016,Other North Africa
 2017/18,1333,1.15,1538,1642,0,3470,530,2940,726,Other North Africa
 2018/19,1450,1.34,1945,1100,0,3180,530,2650,591,Other North Africa
 2019/20,1520,1.38,2101,1174,0,3282,539,2743,584,Other North Africa
 2020/21,1547,1.4,2168,1219,0,3379,549,2830,592,Other North Africa
 2021/22,1560,1.42,2214,1257,0,3474,561,2913,589,Other North Africa
 2022/23,1581,1.44,2271,1269,0,3534,571,2963,595,Other North Africa
 2023/24,1601,1.45,2329,1295,0,3616,583,3033,603,Other North Africa
 2024/25,1609,1.46,2354,1300,0,3647,592,3055,610,Other North Africa
 2025/26,1615,1.47,2380,1353,0,3726,601,3125,617,Other North Africa
 2026/27,1627,1.49,2423,1354,0,3771,611,3160,623,Other North Africa
 2027/28,1634,1.5,2450,1365,0,3809,617,3192,629,Other North Africa
 2028/29,1642,1.51,2487,1371,0,3852,624,3228,635,Other North Africa
 2016/17,414,2.51,1039,412,115,1299,1194,105,201,Other South America
 2017/18,393,2.06,809,599,5,1385,1245,140,219,Other South America
 2018/19,393,2.67,1050,500,150,1366,1236,130,253,Other South America
 2019/20,402,2.4,964,538,95,1405,1267,138,255,Other South America
 2020/21,397,2.42,961,575,95,1438,1294,144,258,Other South America
 2021/22,399,2.44,973,594,95,1469,1319,150,261,Other South America
 2022/23,394,2.47,972,625,95,1498,1342,156,266,Other South America
 2023/24,395,2.49,982,650,95,1537,1374,163,265,Other South America
 2024/25,397,2.51,994,676,95,1574,1404,170,266,Other South America
 2025/26,400,2.53,1012,692,95,1606,1430,177,269,Other South America
 2026/27,403,2.55,1030,709,95,1643,1459,184,270,Other South America
 2027/28,404,2.58,1042,731,95,1675,1485,191,272,Other South America
 2028/29,405,2.6,1053,751,95,1707,1510,197,275,Other South America
 2016/17,1029,2.14,2201,33,7,2209,2078,131,292,Other Sub-Saharan Africa
 2017/18,1270,1.79,2270,35,10,2250,2119,131,337,Other Sub-Saharan Africa
 2018/19,1270,1.84,2340,35,0,2310,2184,126,402,Other Sub-Saharan Africa
 2019/20,1252,1.87,2335,35,0,2366,2235,130,406,Other Sub-Saharan Africa
 2020/21,1262,1.89,2385,35,0,2416,2286,131,409,Other Sub-Saharan Africa
 2021/22,1266,1.92,2429,35,1,2461,2330,131,411,Other Sub-Saharan Africa
 2022/23,1275,1.95,2483,35,0,2516,2386,130,413,Other Sub-Saharan Africa
 2023/24,1273,1.98,2525,35,0,2556,2426,130,417,Other Sub-Saharan Africa
 2024/25,1270,2.02,2564,35,0,2596,2465,131,420,Other Sub-Saharan Africa
 2025/26,1269,2.06,2608,36,0,2641,2510,132,423,Other Sub-Saharan Africa
 2026/27,1270,2.09,2657,36,0,2689,2557,132,427,Other Sub-Saharan Africa
 2027/28,1272,2.13,2708,36,0,2741,2610,132,429,Other Sub-Saharan Africa
 2028/29,1269,2.17,2751,36,0,2785,2653,132,432,Other Sub-Saharan Africa
 2016/17,7955,2.21,17547,214,2951,14700,4700,10000,851,Russia
 2017/18,7852,2.57,20183,84,5873,14500,4600,9900,745,Russia
 2018/19,7700,2.14,16500,100,4500,12400,4400,8000,445,Russia
 2019/20,8066,2.2,17764,108,5291,12581,4160,8421,445,Russia
 2020/21,8051,2.24,18019,116,5556,12577,4146,8431,447,Russia
 2021/22,8045,2.27,18241,125,5737,12626,4143,8483,450,Russia
 2022/23,8050,2.3,18509,134,6000,12638,4128,8510,455,Russia
 2023/24,8050,2.33,18763,144,6129,12771,4099,8672,462,Russia
 2024/25,8041,2.36,18943,154,6272,12817,4082,8735,470,Russia
 2025/26,8035,2.38,19110,165,6368,12899,4072,8827,478,Russia
 2026/27,8031,2.4,19291,176,6432,13028,4055,8973,485,Russia
 2027/28,8025,2.43,19483,188,6600,13065,4044,9021,491,Russia
 2028/29,8022,2.45,19670,200,6746,13117,4025,9092,498,Russia
 2016/17,2,5,10,8100,0,9825,25,9800,2344,Saudi Arabia
 2017/18,2,5,10,8000,0,8825,25,8800,1529,Saudi Arabia
 2018/19,2,5,10,7600,0,8225,25,8200,914,Saudi Arabia
 2019/20,2,5,10,8043,0,8051,25,8026,916,Saudi Arabia
 2020/21,2,5,10,8153,0,8159,28,8131,920,Saudi Arabia
 2021/22,2,5,10,8309,0,8317,28,8289,922,Saudi Arabia
 2022/23,2,5,10,8482,0,8492,29,8463,922,Saudi Arabia
 2023/24,2,5,10,8668,0,8667,30,8637,933,Saudi Arabia
 2024/25,2,5,10,8836,0,8838,32,8806,941,Saudi Arabia
 2025/26,2,5,10,9005,0,9010,31,8979,946,Saudi Arabia
 2026/27,2,5,10,9195,0,9196,33,9163,955,Saudi Arabia
 2027/28,2,4.76,10,9380,0,9386,34,9352,959,Saudi Arabia
 2028/29,2,4.76,10,9562,0,9568,35,9533,963,Saudi Arabia
 2016/17,89,3.99,355,79,0,400,370,30,196,South Africa Republic
 2017/18,91,3.37,307,20,0,380,350,30,143,South Africa Republic
 2018/19,120,3.25,390,20,0,390,350,40,163,South Africa Republic
 2019/20,118,3.29,389,20,0,399,355,44,174,South Africa Republic
 2020/21,116,3.33,387,20,0,406,360,46,174,South Africa Republic
 2021/22,116,3.37,391,21,0,412,364,48,174,South Africa Republic
 2022/23,117,3.41,397,23,0,420,368,52,174,South Africa Republic
 2023/24,117,3.45,402,22,0,423,374,49,175,South Africa Republic
 2024/25,118,3.49,410,22,0,431,379,53,175,South Africa Republic
 2025/26,119,3.53,420,21,0,440,383,57,175,South Africa Republic
 2026/27,119,3.58,427,20,0,446,388,58,176,South Africa Republic
 2027/28,120,3.62,435,22,0,457,393,64,176,South Africa Republic
 2028/29,121,3.66,442,24,0,465,398,67,176,South Africa Republic
 2016/17,     --,     --,     --,56,0,56,30,26,0,Taiwan
 2017/18,     --,     --,     --,50,0,50,30,20,0,Taiwan
 2018/19,     --,     --,     --,50,0,50,30,20,0,Taiwan
 2019/20,     --,     --,     --,50,0,50,30,20,0,Taiwan
 2020/21,     --,     --,     --,50,0,50,30,20,0,Taiwan
 2021/22,     --,     --,     --,51,0,51,30,21,0,Taiwan
 2022/23,     --,     --,     --,51,0,51,30,21,0,Taiwan
 2023/24,     --,     --,     --,51,0,51,30,21,0,Taiwan
 2024/25,     --,     --,     --,51,0,51,31,21,0,Taiwan
 2025/26,     --,     --,     --,51,0,51,31,21,0,Taiwan
 2026/27,     --,     --,     --,51,0,51,31,20,0,Taiwan
 2027/28,     --,     --,     --,51,0,51,31,20,0,Taiwan
 2028/29,     --,     --,     --,51,0,51,31,20,0,Taiwan
 2016/17,3400,1.4,4750,141,14,5500,900,4600,338,Turkey
 2017/18,3400,1.88,6400,753,20,6700,900,5800,771,Turkey
 2018/19,3600,2.06,7400,100,100,7300,900,6400,871,Turkey
 2019/20,3620,1.91,6918,150,100,6986,898,6088,853,Turkey
 2020/21,3592,1.92,6883,150,100,6951,896,6055,835,Turkey
 2021/22,3586,1.92,6888,150,100,6958,894,6064,815,Turkey
 2022/23,3580,1.93,6896,151,100,6970,895,6075,792,Turkey
 2023/24,3577,1.93,6908,150,100,6974,894,6080,776,Turkey
 2024/25,3574,1.94,6920,150,100,6988,893,6095,758,Turkey
 2025/26,3586,1.94,6962,150,100,7031,888,6143,739,Turkey
 2026/27,3598,1.95,7003,150,100,7069,886,6183,723,Turkey
 2027/28,3610,1.95,7046,150,100,7115,884,6231,704,Turkey
 2028/29,3612,1.96,7067,149,100,7134,880,6254,686,Turkey
 2016/17,3045,3.24,9874,8,5354,4900,1400,3500,1237,Ukraine
 2017/18,2652,3.28,8695,5,4300,4500,1400,3100,1137,Ukraine
 2018/19,2500,3.04,7600,10,4300,3500,1300,2200,947,Ukraine
 2019/20,2583,3.06,7896,12,4478,3430,1274,2156,947,Ukraine
 2020/21,2591,3.06,7933,11,4642,3302,1261,2041,947,Ukraine
 2021/22,2598,3.06,7955,12,4703,3264,1246,2018,947,Ukraine
 2022/23,2607,3.06,7988,12,4780,3220,1224,1996,947,Ukraine
 2023/24,2617,3.06,7999,13,4779,3234,1222,2012,946,Ukraine
 2024/25,2627,3.06,8037,13,4823,3227,1211,2016,946,Ukraine
 2025/26,2636,3.07,8089,14,4850,3254,1197,2057,945,Ukraine
 2026/27,2646,3.07,8128,15,4867,3277,1191,2086,944,Ukraine
 2027/28,2657,3.08,8180,15,4901,3294,1171,2123,944,Ukraine
 2028/29,2667,3.08,8205,16,4900,3321,1159,2162,944,Ukraine
 2016/17,1038,4.19,4353,210,95,4375,3536,839,2316,USA
 2017/18,791,3.91,3090,198,111,3436,3424,12,2057,USA
 2018/19,800,4.17,3333,327,109,3702,3375,327,1906,USA
 2019/20,890,4.01,3571,327,109,3801,3366,435,1894,USA
 2020/21,890,4.06,3614,327,109,3919,3375,544,1807,USA
 2021/22,931,4.09,3810,327,109,4028,3375,653,1807,USA
 2022/23,931,4.14,3854,327,109,4028,3375,653,1851,USA
 2023/24,971,4.17,4050,327,109,4138,3376,762,1981,USA
 2024/25,971,4.22,4093,327,109,4245,3374,871,2047,USA
 2025/26,971,4.24,4115,327,109,4355,3375,980,2025,USA
 2026/27,971,4.28,4159,327,109,4355,3375,980,2047,USA
 2027/28,971,4.33,4202,327,109,4355,3375,980,2112,USA
 2028/29,971,4.35,4224,327,109,4464,3375,1089,2090,USA
 2016/17,49293,2.99,147167,28323,28323,150408,45643,104765,23099,World
 2017/18,48122,3,144271,28920,28920,148219,45162,103057,19151,World
 2018/19,48759,2.9,141254,27539,27539,142978,44694,98284,17427,World
 2019/20,49890,2.93,146176,29058,29058,145807,44700,101107,17796,World
 2020/21,50069,2.94,147319,29792,29792,146968,45027,101941,18147,World
 2021/22,50171,2.96,148453,30507,30507,148115,45363,102752,18485,World
 2022/23,50238,2.98,149515,31338,31338,149302,45799,103503,18698,World
 2023/24,50393,2.99,150844,32034,32034,150587,46092,104495,18955,World
 2024/25,50477,3.01,151831,32888,32888,151652,46498,105154,19134,World
 2025/26,50604,3.02,152959,33724,33724,152891,46862,106029,19202,World
 2026/27,50772,3.04,154168,34419,34419,154027,47137,106890,19343,World
 2027/28,50877,3.05,155280,35165,35165,155131,47470,107661,19492,World
 2028/29,50996,3.07,156387,35898,35898,156321,47809,108512,19558,World
