crop_year,harvest_area,yield,production,imports,exports,total_consumption,food_seed_and_industrial_use,feed_use,ending_stocks,country
 2019/20,61,2.51,152,64,10,205,186,18,40,South Africa Republic
 2020/21,60,2.53,151,66,10,205,187,18,42,South Africa Republic
 2021/22,60,2.54,153,68,10,210,190,20,44,South Africa Republic
 2022/23,61,2.55,155,70,10,214,192,22,46,South Africa Republic
 2023/24,61,2.56,157,72,10,219,196,23,46,South Africa Republic
 2024/25,62,2.57,161,75,10,225,199,25,47,South Africa Republic
 2025/26,63,2.59,164,78,10,232,203,28,47,South Africa Republic
 2026/27,64,2.60,167,81,10,237,207,30,48,South Africa Republic
 2027/28,65,2.62,170,83,11,243,210,33,48,South Africa Republic
 2028/29,66,2.63,173,85,11,247,213,34,48,South Africa Republic
 2016/17,2,1.00,2,48,0,53,33,20,0,Taiwan
 2017/18,2,1.00,2,60,0,62,42,20,0,Taiwan
 2018/19,2,1.00,2,50,0,52,32,20,0,Taiwan
 2019/20,2,1.01,2,51,0,52,32,20,1,Taiwan
 2020/21,2,1.01,2,53,0,55,32,23,1,Taiwan
 2021/22,2,1.02,2,54,0,56,32,24,1,Taiwan
 2022/23,2,1.02,2,55,0,57,32,25,1,Taiwan
 2023/24,2,1.03,2,56,0,58,32,26,1,Taiwan
 2024/25,2,0.98,2,57,0,59,32,27,1,Taiwan
 2025/26,2,0.98,2,58,0,60,32,27,1,Taiwan
 2026/27,2,0.99,2,58,0,60,32,28,1,Taiwan
 2027/28,2,0.99,2,58,0,60,32,28,1,Taiwan
 2028/29,2,1.00,2,59,0,60,32,28,1,Taiwan
 2016/17,27,1.85,50,0,5,51,6,45,0,Thailand
 2017/18,27,1.85,50,0,5,45,0,45,0,Thailand
 2018/19,27,1.85,50,0,5,45,0,45,0,Thailand
 2019/20,28,1.86,52,0,5,47,0,47,0,Thailand
 2020/21,29,1.87,54,0,5,49,0,49,0,Thailand
 2021/22,29,1.88,55,0,5,50,0,50,0,Thailand
 2022/23,29,1.89,55,0,5,50,0,50,0,Thailand
 2023/24,29,1.90,56,0,5,51,0,51,0,Thailand
 2024/25,29,1.91,55,0,5,50,0,50,0,Thailand
 2025/26,29,1.92,56,0,5,51,0,51,0,Thailand
 2026/27,30,1.93,57,0,5,52,0,52,0,Thailand
 2027/28,30,1.94,58,0,5,53,0,53,0,Thailand
 2028/29,30,1.95,58,0,5,53,0,53,0,Thailand
 2016/17,2494,4.89,12199,44,6041,6282,2910,3372,850,USA
 2017/18,2042,4.53,9242,51,5211,4047,1501,2546,885,USA
 2018/19,2061,4.71,9701,0,3810,5842,3175,2667,934,USA
 2019/20,2023,4.23,8560,0,3810,4947,2534,2413,737,USA
 2020/21,2023,4.23,8560,0,3810,4827,2541,2286,660,USA
 2021/22,2064,4.22,8713,0,3810,4953,2540,2413,610,USA
 2022/23,2064,4.22,8713,0,3810,4827,2541,2286,686,USA
 2023/24,2064,4.22,8713,0,3810,4954,2541,2413,635,USA
 2024/25,2064,4.22,8713,0,3810,4827,2541,2286,711,USA
 2025/26,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2026/27,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2027/28,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2028/29,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2016/17,44291,1.43,63373,7565,7565,63800,39476,24324,5357,World
 2017/18,40005,1.44,57552,7104,7104,58192,35386,22806,4717,World
 2018/19,41366,1.43,59211,6167,6167,59456,37477,21979,4472,World
 2019/20,41892,1.42,59549,6250,6250,59998,39169,20829,4023,World
 2020/21,42489,1.42,60535,6289,6289,60531,39520,21011,4027,World
 2021/22,42980,1.43,61477,6332,6332,61459,40079,21380,4045,World
 2022/23,43352,1.44,62281,6363,6363,62154,40655,21499,4172,World
 2023/24,43744,1.44,63107,6413,6413,63078,41209,21869,4201,World
 2024/25,44283,1.45,64026,6458,6458,63858,41839,22019,4369,World
 2025/26,44799,1.45,65124,6490,6490,65032,42485,22547,4461,World
 2026/27,45262,1.46,66032,6532,6532,65938,43126,22812,4555,World
 2027/28,45793,1.46,67010,6588,6588,66933,43805,23128,4632,World
 2028/29,46278,1.47,67949,6607,6607,67879,44468,23411,4702,World
